S5L_StE         0.673
S5L_StS         0.632
S5L_FtE         -1
S5L_FtS         -1
L5S_StE         0.646
L5S_StS         -1
L5S_FtE         0.352
L5S_FtS         -1
L5L(S5S)_StE    0.366
L5L(S5S)_StS    0.459
L5L(S5S)_FtE    0.202
L5L(S5S)_FtS    0.226
L6L_StE         0.238
L6L_StS         0.439
L6L_FtE         0.186
L6L_Fts         0.189
